"name","latitude","longitude"
"Мережа Книгарень «Є»",50.441944,30.548333
"Мережа Книгарень «Є»",50.4725,30.506111
"Мережа Книгарень «Є»",50.391111,30.625278
"Мережа Книгарень «Є»",50.395556,30.626111
"Мережа Книгарень «Є»",50.450278,30.466667
"Мережа Книгарень «Є»",50.488611,30.502778
"Мережа Книгарень «Є»",50.401667,30.634444
"Мережа Книгарень «Є»",50.506667,30.416389
"Мережа Книгарень «Є»",48.511111,32.265556
"Мережа Книгарень «Є»",50.743611,25.321667
"Мережа Книгарень «Є»",49.841389,24.029722
"Мережа Книгарень «Є»",49.839444,24.023889
"Мережа Книгарень «Є»",49.838611,24.030556
"Мережа Книгарень «Є»",49.84,24.0275
"Мережа Книгарень «Є»",49.8375,24.030833
"Мережа Книгарень «Є»",48.439722,22.718333
"Мережа Книгарень «Є»",49.592778,34.544444
"Мережа Книгарень «Є»",50.619444,26.252222
"Мережа Книгарень «Є»",50.618889,26.2475
"Мережа Книгарень «Є»",49.773333,24.009722
"Мережа Книгарень «Є»",50.406667,30.338889
"Мережа Книгарень «Є»",50.908611,34.798889
"Мережа Книгарень «Є»",49.5525,25.592778
"Мережа Книгарень «Є»",49.553611,25.595833
"Мережа Книгарень «Є»",48.623889,22.299167
"Мережа Книгарень «Є»",48.614722,22.291111
"Мережа Книгарень «Є»",49.993611,36.231944
"Мережа Книгарень «Є»",49.424167,26.988333
"Мережа Книгарень «Є»",49.432778,26.9975
"Мережа Книгарень «Є»",49.425556,26.981389
"Мережа Книгарень «Є»",49.440833,32.066111
"Мережа Книгарень «Є»",48.286389,25.938333
"Мережа Книгарень «Є»",48.295278,25.925833
"Мережа Книгарень «Є»",51.495556,31.293889
"Мережа Книгарень «Є»",46.476111,30.730833
"Мережа Книгарень «Є»",50.441389,30.282778
"Мережа Книгарень «Є»",48.925,24.709167
"Мережа Книгарень «Є»",46.390556,30.7225
"Мережа Книгарень «Є»",49.231944,28.420556
"Мережа Книгарень «Є»",50.583333,30.483889
"Мережа Книгарень «Є»",48.681111,26.583611
"Мережа Книгарень «Є»",50.459722,30.523056
"Мережа Книгарень «Є»",49.063611,33.406111
"Мережа Книгарень «Є»",47.9075,33.396944
"Мережа Книгарень «Є»",49.834444,24.006667
"Мережа Книгарень «Є»",49.844722,24.008889
"Мережа Книгарень «Є»",49.255833,23.853889
"Мережа Книгарень «Є»",50.400278,30.373333
"Мережа книгарень Буква",50.549722,30.199167
"Мережа книгарень Буква",49.232778,28.455833
"Мережа книгарень Буква",49.225833,28.4125
"Мережа книгарень Буква",50.266389,28.685278
"Мережа книгарень Буква",50.589444,27.623611
"Мережа книгарень Буква",50.495,30.3625
"Мережа книгарень Буква",50.444444,30.519722
"Мережа книгарень Буква",50.458333,30.631389
"Мережа книгарень Буква",50.431111,30.383333
"Мережа книгарень Буква",50.399167,30.616389
"Мережа книгарень Буква",50.405833,30.611111
"Мережа книгарень Буква",50.397778,30.638056
"Мережа книгарень Буква",50.456389,30.363333
"Мережа книгарень Буква",50.453333,30.598056
"Мережа книгарень Буква",50.461944,30.481389
"Мережа книгарень Буква",50.373056,30.444444
"Мережа книгарень Буква",50.446111,30.491944
"Мережа книгарень Буква",50.440278,30.55
"Мережа книгарень Буква",50.5075,30.498333
"Мережа книгарень Буква",50.451389,30.468056
"Мережа книгарень Буква",50.503611,30.416944
"Мережа книгарень Буква",50.755278,25.355556
"Мережа книгарень Буква",49.870278,24.022778
"Мережа книгарень Буква",46.484167,30.739444
"Мережа книгарень Буква",50.625833,26.2
"Мережа книгарень Буква",48.29,25.933333
"Мережа книгарень Буква",50.393889,24.236389
"Мережа книгарень Буква",49.796111,30.113333
"Мережа книгарень Буква",49.22,28.450833
"Мережа книгарень Буква",48.931667,24.745
"Мережа книгарень Буква",48.940833,24.737778
"Мережа книгарень Буква",48.526111,25.042222
"Мережа книгарень Буква",49.807222,23.978333
"Мережа книгарень Буква",49.601111,34.531389
"Мережа книгарень Буква",50.908056,34.798333
"Мережа книгарень Буква",48.623611,22.297778
